Product Name,Product Price (EUR),Product Link,Description,Reviews
MELLTORP,69.99,https://www.ikea.com/at/de/p/melltorp-tisch-weiss-s19011777/,"MELLTORP Tisch - weiß 125x75 cm. Der Tisch ist dank des Untergestells aus Metall sehr stabil. Robustes Metallgestell mit einer langlebigen, glatten Melamin-Tischplatte. Dieser Tisch passt zu den LIDÅS, TEODORES, ÖSTANÖ and KÄTTIL Stühlen in einem anderen Stil. Bietet 4 Personen Platz.","Flora: 5 stars - Nice.; Oswald: 5 stars - Toller Tisch, sehr robust.; Dorothea: 5 stars - Gut; Georg-Christian: 5 stars - Ich erinnere mich an meinen ersten Melltorp für 19,90 - jetzt kostet er 34,95.

Aber Melltorp ist cool, er sieht durch das Design wertiger aus, als diese 34,95.

Beim Zusammenbau muss man aber aufpassen, dass man nichts falsch macht, denn lockert man die Schrauben wieder, ist es bald vorbei. Man kann sie nicht mehr festschrauben, weil halt die Qualität dann doch dem Preis entspricht. 

Summa summarum ist es ein schönes Möbel zu einem guten Preis.; Jürgen: 5 stars - Sehr stabil, einfacher Zusammenbau. TOP Preis / Leistung; Verifizierter Kauf: 3 stars - Für den Preis kann man nicht mehr erwarten. Aufbau nicht wirklich einfach.; Antonella: 5 stars - Dieser Tisch hält bei mir unter starken Strapazen schon das 5. Jahr ohne nennenswerte Gebrauchsspuren! Habe ihn auch in der größeren Variante - wirklich zu empfehlen! Lediglich der Zusammenbau ist (an den Ecken) ein bisschen knifflig, aber mit Geduld klappt's dann ...; Antonella: 2 stars - Ich meine mir ist bewusst dass man für dieses Geld nicht viel erwarten kann...als ich dann haber das Paket erhalten habe war ich erst positiv überrascht war. Ich habe die Platte auf den Karton gelegt und wie beschrieben den Tisch aufgebaut und als ich zufrieden war er fertig war, habe ich Ihn umgedreht und oh Schreck...die Schrauben sind an der anderen Seite wieder herausgekommen....ich bin echt enttäuscht. Habe mich sehr gefreut auf diesen Tisch und möchte jetzt nicht nochmal den ganzen Tisch kaufen. Kann ich leider nicht empfehlen :(; Antonella: 5 stars - Der Tisch ist stabil, sieht gut aus und ist leicht zu montieren."
TARSELE,599.0,https://www.ikea.com/at/de/p/tarsele-ausziehtisch-eichenfurnier-schwarz-70581359/,TARSELE Ausziehtisch - Eichenfurnier/schwarz 150/200x80 cm. Ausziehbarer Esstisch mit 1 Zusatzplatte; bietet Platz für 4-6 Personen. Größe des Tisches je nach Bedarf anpassbar. Mit einer Zusatzplatte. Die Zusatzplatte kann in Reichweite unter der Tischplatte aufbewahrt werden.,
EKEDALEN,249.0,https://www.ikea.com/at/de/p/ekedalen-ausziehtisch-eiche-70340812/,"EKEDALEN Ausziehtisch - Eiche 120/180x80 cm. Das Verlängerungselement lässt sich leicht einschieben, um den Tisch von 4 auf 6 Sitzplätze zu erweitern, und ebenso leicht wieder entfernen und unter der Tischplatte verstauen, wenn die Gäste nach Hause gegangen sind. Mit einer Zusatzplatte.","Nora: 5 stars - Perfekt in einer kleinen Wohnung. Wenn man Gäste hat ist er schnell ausgezogen und man hat genügend Platz für 8 Personen.; Eva: 3 stars - Heute den gestern gekauften Tisch aufgebaut. Leider hat die Ausziehplatte nicht das selbe weiß, wie die Tischplatte. Optisch ziemlich unschön. Bei den anderen zwei Ekedalen, die wir vor ein paar Jahren gekauft haben, besteht dieses Problem nicht. Schade, dass anscheinend die Qualität nachlässt.; Susanne: 5 stars - Sehr gutes Produkt; Gertrude: 5 stars - Ich bin sehr zufrieden, wie auch mit all den anderen Produkten, die ich bisher bei Ikea gekauft habe, und das sind schon ziemlich viele! Ich konnte den Tisch mühelos alleine aufbauen, es war sehr einfach.; Anna: 1 stars - Ich habe mir den Tisch aufgrund der Ausziehfunktion bestellt und habe beim Aufbau leider festgestellt, dass diese nicht funktioniert.
Den Kundenservice habe ich bereits kontaktiert und nur eine Rückmeldung bekommen, dass ich mit dem Tisch in ein Einrichtungshaus vorbeikommen kann. 
Da ich leider keine Möglichkeit habe, den Tisch zu transportieren, habe ich mir die Ware auch liefern lassen (Liefergebühr 79 Euro). 

Jetzt habe ich rd. 250 Euro für einen nicht vollfunktionsfähigen Tisch ausgegeben – danke IKEA.; Antonella: 3 stars - Beim Zusammenbau drehte eine Schraube durch und daher konnte ein Tischbein nicht ordentlich befestigt werden.; Antonella: 5 stars - Schön, stabil und nicht so klotzig; Antonella: 5 stars - Vor kurzem gekauft. Sehr zufrieden. Super, gut doppelt so groß, nach dem ausziehen; Petra: 5 stars - und vor allem auch praktisch, da bei Bedarf ausziehbar. und der Vorteil, die Tischbeine sind immer an den Ecken und nicht wie bei anderen ausziehbaren irgendwo mitten drin, wo sie dann meistens eher stören.; Antonella: 5 stars - bestens sehr zufrieden mit diesen Kauf; Verifizierter Kauf: 4 stars - Würde man die Kanten aus Hartholz machen wäre das nützlich für die Haltbarkeit; Verifizierter Kauf: 5 stars - Einfach zum zusammensetzen und man sieht nicht dass er zum ausziehen ist; Antonella: 3 stars - splittert schon nach 2 monaten!!!; Antonella: 5 stars - super produkt ☺️       ........; Antonella: 4 stars - ...jedoch leider nur 80 cm breit. Zum Aufbau wird eine 2.Person benötigt, allein schon zum umdrehen.Sonst einfacher Aufbau, alle vorgebohrten Löcher stimmen, nichts muss nachgebohrt oder improvisiert werden, wie man es eben nur von IKEA-Möbeln kennt.; Antonella: 5 stars - Toller stabiler Tisch-ganz nach unseren Vorstellungen"
PINNTORP,149.0,https://www.ikea.com/at/de/p/pinntorp-tisch-hellbraun-lasiert-weiss-las-30529467/,"PINNTORP Tisch - hellbraun lasiert/weiß las. 125x75 cm. Das robuste Massivholzgestell ist in frischem Weiß lasiert, das jeden noch so trüben Tag aufhellt. Die durchscheinende Holzmaserung sorgt für warmen, natürlichen Ausdruck. Bietet 4 Personen Platz. Nur für Innenräume geeignet.",
MÖRBYLÅNGA,799.0,https://www.ikea.com/at/de/p/moerbylanga-tisch-eichenfurnier-braun-las-20293766/,MÖRBYLÅNGA Tisch - Eichenfurnier braun las. 220x100 cm. Das Stabmuster verleiht der Tischplatte den gediegenen Charakter einer massiven Holzoberfläche. Eiche ist eine sehr harte und strapazierfähige Holzart mit deutlicher Maserung. Der Holzton dunkelt mit der Zeit zu einem weichem Goldbraun nach.,"Antonella: 5 stars - Preis qualitat verhaltniss ist sehr gut, ganz nach meine Erwartungen.; Antonella: 3 stars - Der Tisch ist für den Preis in Ordnung. Was etwas stört ist dass es zwei Platten sind. Bei dem Spalt zwischen den beiden Platten fällt dauernd etwas durch.; Antonella: 5 stars - Nice and functional design, confortable use.; Verifizierter Kauf: 5 stars - Bis auf die Packetgröße, die such nur knapp in meinem 208er Peugeot ausgegangen ist. Ist der Tisch einfach till. Leicht zum zusammenbauen, pflegeleicht, sieht wie ein Echtholztisch aus und ist ein echter Blickfang in meinem Esszimmer.; Verifizierter Kauf: 5 stars - Tolles Aussehen, super Qualität und einfach zusammen baubar; Antonella: 5 stars - Der Tisch ist massiv und stabil, durch sein sehr gelungenes Design wirkt er jedoch überhaupt nicht schwerfällig. Die Farbe des Holzes und die Haptik ist sehr ansprechen. Der Zusammenbau ist einfachst, nur braucht man unbedingt 2 starke Helfer, um ihn dann auf die Beine zu stellen. Einziges Manko: zumindest bei unserem Exemplar sind die Beine in einem leicht anderen Farbton als die Tischplatte; stört die Gesamtoptik jedoch nicht. Großes Minus: die Schrauben sind zum Teil weich wie Käse und der Schraubkopf ist nach nur einer Umdrehung nicht mehr zu gebrauchen. Lieber IKEA: Bitte wieder in die Qualität der Schrauben investieren!; Verifizierter Kauf: 5 stars - Wir haben lange gesucht ein Esstisch, der kostet nicht viel Geld, sieht elegant aus und ist hochwertig. Suche kam zur Ende, danke Ikea! Absolut empfehlenswert, extrem stabil.; Antonella: 5 stars - Produkt ist sehr zufriedenstellend. Nur beim Aufbau ist eine Schraube ausgerissen, aber mit ein bisschen handwerkliches Geschick ließ sich das beheben.; Antonella: 5 stars - Sehr schnell und einfach aufgebaut! Der Tisch ist anständig schwer und robust. Der Mittelschlitz ist ein richtiger Hingucker. Wirkt somit sehr edel!; Verifizierter Kauf: 4 stars - Schlicht, schön und praktisch, wird immer gerne genommen; Verifizierter Kauf: 5 stars - Besertung: Sehr gut! Fundgrubenstück daher auch sehr günstig trotz nicht erkennbarem Fehler!; Verifizierter Kauf: 4 stars - Bis jetzt (2monate in verwendung) bin ich sehr zufrieden.einzig beim Zusammenbau hat sich eine Schraube so verhakt,dass sie nicht mehr vor und zurück ging.hätten damit fast den Tisch ruiniert."
MARIEDAMM,399.0,https://www.ikea.com/at/de/p/mariedamm-tisch-schwarz-marmoriert-20576124/,MARIEDAMM Tisch - schwarz marmoriert 180x100 cm. Die ovale Form und die abgerundeten Kanten verleihen dem Raum eine entspannte Atmosphäre. Die matte Oberfläche ist Wasser abweisend und vor Fingerabdrücken geschützt. Der Rahmen aus pulverbeschichtetem Stahl ist stabil und haltbar.,"Sabine: 5 stars - Toller stabiler Tisch, mit schönen modernen Design."
SANDSBERG,49.99,https://www.ikea.com/at/de/p/sandsberg-tisch-schwarz-s29420393/,"SANDSBERG Tisch - schwarz 110x67 cm. Schlankes Design, das sich nahtlos einfügt, ohne optisch zu viel Raum einzunehmen. Robustes Metallgestell mit einer langlebigen, glatten Melamin-Tischplatte. Nur für Innenräume geeignet. Bietet 4 Personen Platz. Trennbar zum Recycling oder zur Energiegewinnung.","Peter: 5 stars - Wir haben bereits 2 davon, das ist jetzt der 3. Wir verwenden diesen Tisch als Schreibtisch für die Kids."
EKEDALEN,349.0,https://www.ikea.com/at/de/p/ekedalen-ausziehtisch-weiss-70340765/,"EKEDALEN Ausziehtisch - weiß 180/240x90 cm. Das Verlängerungselement lässt sich leicht einschieben, um den Tisch von 6 auf 8 Sitzplätze zu erweitern, und ebenso leicht wieder entfernen und unter der Tischplatte verstauen, wenn die Gäste nach Hause gegangen sind. Bietet 6-8 Personen Platz.","Birgit: 1 stars - Meine Mutter hat mir den Tisch im Mai 2022 gekauft und geschenkt. Vor 3 Wochen platzte plötzlich und für uns nicht nachvollziehbar eines der vier Tischbeine auf. Der Riss zog sich von unten bis ganz nach oben. Erwähnenswert ist, dass das Tischbein unten Plastikabdeckungen, zum Schutz des Bodens angebracht ist. Ich habe den Tisch zerlegt und bin zum Ikea SCS gefahren. Da wurde eine Rücknahme verweigert, da ich (Aussage Kundenservice) vermutlich ein Glas Wasser über das Tischbein geschüttet hatte und dadurch das Tischbein aufgequollen war. IKEA - ernsthaft? Seit Jahrzehnten bin ich Kunde, nachvollziehbar auch meine Einkaufe und äußerst seltenen Retouren. Und dann kommt ihr mir mit so eine miserablen Verweigerung eines ordentlichen Kundenservices? Wie kann es sein, dass alle anderen drei Tischbeine einwandfrei in Ordnung sind? Da hätte ich das Bein schon in einen Kübel Wasser stellen müssen. Den Tisch habe ich bereits entsorgt. Teure Sache für 5 Monate.; Verifizierter Kauf: 5 stars - Im Herbst gekauft und sehr zufrieden; Verifizierter Kauf: 3 stars - Leider ist der Tisch teilweise beschädigt gewesen und die Kanten sind sehr rau - empfindliche Stoffe gehen definitiv kaputt. Uns wurde angeboten die betroffenen Teile hinzubringen um diese ggf. auszutauschen. Allerdings ist es mit krabbelndem Kleinkind und Haustieren nicht möglich den Tisch im zerlegtem Zustand (auf der Tischplatte) liegen zu lassen bis man Zeit hat diesen wieder zusammen zu bauen :-( Auch fehlt hier zu der Platz - deshalb wurde er in einer Nacht (auf ein mal) zusammengebaut.; Antonella: 5 stars - Vor zwei Wochen gekauft, sehr zufrieden!; Antonella: 1 stars - Wir haben uns den EKEDALEN Tisch in weiß gekauft. Beim ersten Modell ist die Schraube durch die Tischplatte gegangen, nach Reklamation (mit selbst bezahltem Transport um 80€) beim zweiten Modell von Anfang an Schrammen, Kratzer und schwarze Fahrer in der Tischplatte. Die Idee mit den ausziehbaren Tischbeinen und das Design sind top! Schade, dass an Qualität gespart wurde – nicht zu vergleichen mit BJURSTA, den hatten wir mehrere Jahre ohne Kratzer und Schrammen und der war um einiges günstiger!; Antonella: 4 stars - Vor einem Monat gekauft - leider sind die Schrauben, die an der Unterseite des Tisches angebracht werden, etwas zu lang --> man sieht eine Erhebung an der Tischplatte - also vorsichtig reinschrauben!"
STRANDTORP,499.0,https://www.ikea.com/at/de/p/strandtorp-ausziehtisch-braun-80388587/,"STRANDTORP Ausziehtisch - braun 150/205/260x95 cm. Mithilfe der integrierten Zusatzplatten kannst du den 3-in-1-Tisch ganz leicht für 4, 6 oder 8 Personen anpassen. Wenn du an die beiden Kopfenden jeweils einen weiteren Stuhl stellst, passen sogar bis zu 10 Personen an den Tisch.",Esma: 5 stars - minimalistisch und schön
LISABO,199.0,https://www.ikea.com/at/de/p/lisabo-tisch-eschenfurnier-70294339/,"LISABO Tisch - Eschenfurnier 140x78 cm. Die clevere Konstruktion und die handgefertigte Optik haben unserer LISABO Tischserie 2016 den Red Dot Design Award eingebracht. Die Platte mit Eschenfurnier und Beine aus massiver Birke sorgen für warme, natürliche Stimmung im Raum. Bietet 4 Personen Platz.","Michaela: 5 stars - Ein formschöner Tisch, einfach zusammenzubauen, sehr stabil, gute Qualität zu einem sehr fairen Preis; Elisabeth: 5 stars - ein Tisch für Generationen und jedes
Familienfest...noch dazu ein toller Preis !!!!!!!; Volodymyr: 5 stars - We've tested lots of tables at IKEA, but this one has a nice look and it was the most comfortable. The space for the knees (if you criss-cross them) below the table is large. I have no problem sitting like that.

The rounded corners should also help against running kids.

My first table had a defect, where the sides were damaged, but after returning it, second one looks much better, although not perfect. If you move your hand along the edges, they are not the same. 3 of them can be smooth, one a bit rough and catchy.

Maybe a nitpicking, but the edges are a bit sharp and can leave a mark on your skin if you sit too long.

To close the review, i like this table a lot. It even supported my weight without problems while i was installing the lamp and felt stable :); Antonella: 5 stars - 4 sessel passen genau darunter. er ist schön, er ist leicht, einfach zu montieren und das aller allerbeste: man kann endlich die beine übereinander schlagen ohne mit den beinen gegen irgendwelche bretter oder verstrebungen zu krachen. perfekter esstisch, perfekt für spieleabende und auch für die arbeit am computer! absolute kaufempfehlung.; Antonella: 4 stars - Schönes Design, Montage ist simpel; Antonella: 5 stars - Keine Stege, die beim Sitzen im Weg sind, trotzdem formschön und stabil. Tolles Holz. Von dieser Machart sollte es mehr Auswahl geben.; Antonella: 5 stars - Pax Schranksystem, vor 5 Jahren gekauft und immer noch sehr zufrieden. Hat viele Möglichkeiten das Innenleben immer wieder neu zu gestallten oder zu ergänzen!"
