label,original_price,reduced_price,product_link,product_details,technical_data
Bett Almeno mit Steg - Betthaupt,,"1.124,17 €",https://www.grueneerde.com/de/produkte/schlafen/betten/bett-almeno-mit-steg-betthaupt/ge-p-30248.html,"Produktdetails So einfach wie möglich, aber nicht einfacher Almeno ist preisgünstig und erfüllt gleichzeitig hohe Ansprüche an Qualität, Design und Funktionalität. Die Grundidee des Bettes zeigt sich an der Reduktion auf das Wesentliche: kein Zentimeter Holz zu wenig, kein Gramm zu viel. Wir fertigen Almeno in verschiedenen Holzarten – immer aber aus Massivholz aus Europa. Passgenaue, bei Bedarf wieder lösbare, metallfreie Holzsteckverbindungen: Das Bett lässt sich ohne Qualitäts- und Funktionsverlust wiederholt zerlegen. Die Oberfläche ist von Hand mit natürlichem, duftendem, lösemittelfreiem Pflegeöl eingelassen. Für das optionale textile Betthaupt können Sie aus verschiedenen NATURTEXTIL BEST-zertifizierten Möbelstoffen aus 100 % Schurwolle wählen. Preis, inkl. Aufstellservice, ohne Lattenrost, Matratze und Zubehör.","{'Maße': {'Doppelbettgröße': '180 x 200 cm', 'Länge in cm': '211.6', 'Breite in cm': '185.2', 'Höhe in cm': '79.0', 'lichte Höhe in cm': '23.5', 'Lattenrostauflagehöhe in cm': '26.5', 'Oberkante Seitenwange in cm': '39.0'}, 'N/A': {}, 'Design': {'Holzart': 'N/A', 'Kopfhauptart': 'mit Holzbetthaupt', 'Designer': 'Johannes Scherr', 'Möbel-Serie': 'Almeno'}, 'Spezifikation': {'Holztyp': 'Massivholz', 'Holzmechanik': 'Sichtbare Dübel-Laschenverbindung', 'N/A': 'fixverleimte Dübelverbindung'}}"
Bett Almeno,,"940,83 €",https://www.grueneerde.com/de/produkte/schlafen/betten/bett-almeno/ge-p-30224.html,"Produktdetails So einfach wie möglich, aber nicht einfacher Almeno ist preisgünstig und erfüllt gleichzeitig hohe Ansprüche an Qualität, Design und Funktionalität. Die Grundidee des Bettes zeigt sich an der Reduktion auf das Wesentliche: kein Zentimeter Holz zu wenig, kein Gramm zu viel. Wir fertigen Almeno in verschiedenen Holzarten – immer aber aus Massivholz aus Europa. Passgenaue, bei Bedarf wieder lösbare, metallfreie Holzsteckverbindungen: Das Bett lässt sich ohne Qualitäts- und Funktionsverlust wiederholt zerlegen. Die Oberfläche ist von Hand mit natürlichem, duftendem, lösemittelfreiem Pflegeöl eingelassen. Für das optionale textile Betthaupt können Sie aus verschiedenen NATURTEXTIL BEST-zertifizierten Möbelstoffen aus 100 % Schurwolle wählen. Preis, inkl. Aufstellservice, ohne Lattenrost, Matratze und Zubehör.","{'Maße': {'Doppelbettgröße': '180 x 200 cm', 'Länge in cm': '204.8', 'Breite in cm': '185.2', 'Höhe in cm': '39.2', 'lichte Höhe in cm': '23.5', 'Lattenrostauflagehöhe in cm': '26.5', 'Oberkante Seitenwange in cm': '39.0'}, 'N/A': {}, 'Design': {'Holzart': 'N/A', 'Kopfhauptart': 'ohne Betthaupt', 'Designer': 'Johannes Scherr', 'Möbel-Serie': 'Almeno'}, 'Spezifikation': {'Holztyp': 'Massivholz', 'Holzmechanik': 'Sichtbare Dübel-Laschenverbindung', 'N/A': 'fixverleimte Dübelverbindung'}}"
Bett Almeno mit Sprossen - Betthaupt horizontal,,"1.665,00 €",https://www.grueneerde.com/de/produkte/schlafen/betten/bett-almeno-mit-sprossen-betthaupt-horizontal/ge-p-31596.html,"Produktdetails Die horizontale Linie Das Bett Almeno bietet einen attraktiven Preis und verfügt gleichzeitig über alle typischen Grüne Erde-Tugenden: 100 % Naturmaterialien, hohe Qualität, gutes Design, sorgfältiges Tischlerhandwerk. Charaktermerkmal dieser Almeno-Variante ist ein elegantes Betthaupt, dessen feingliedrige Sprossen die horizontale Linie des Möbels betonen. Von der optischen Leichtigkeit sollte man sich aber nicht täuschen lassen: Das handwerklich sauber und exakt gearbeitete Betthaupt ist sehr stabil und bietet Anlehnungsbedürftigen gerne eine verlässliche Stütze. Material & Fertigung Das hochwertige, dauerhafte Massivholz für Almeno stammt aus mitteleuropäischen, nachhaltig bewirtschafteten Wäldern. Die Teile des Bettes werden von passgenauen, bei Bedarf wieder lösbaren Holzsteckverbindungen fest zusammengehalten. Dank dieser metallfreien Lasche-und-Dübel-Verbindungen lässt sich das Bett ohne Qualitäts- und Funktionsverlust wiederholt zerlegen und wieder zusammenbauen – ganz im Sinne der langen Lebensdauer unserer Möbel. Die Holzoberfläche ist von Hand mit natürlichem, lösemittelfreiem Pflegeöl eingelassen. Gut zu wissen Das Betthaupt kommt auch bei höheren Matratzen bzw. Schlafsystemen mit Toppern und/oder Unterbetten optisch gut zur Geltung. Auch in 210 cm Länge erhältlich.","{'Maße': {'Länge in cm': '215.6', 'Breite in cm': '185.2', 'Höhe in cm': '96.8', 'lichte Höhe in cm': '23.5'}, 'N/A': {}, 'Design': {'Holzart': 'N/A', 'Designer': 'Johannes Scherr', 'Möbel-Serie': 'Almeno'}, 'Spezifikation': {'Holztyp': 'Massivholz', 'Holzmechanik': 'Sichtbare Dübel-Laschenverbindung', 'N/A': 'fixverleimte Dübelverbindung'}}"
Bett Almeno mit Sprossen - Betthaupt vertikal,,"1.665,00 €",https://www.grueneerde.com/de/produkte/schlafen/betten/bett-almeno-mit-sprossen-betthaupt-vertikal/ge-p-36969.html,"Produktdetails Emporstrebende Leichtigkeit Das Bett Almeno bietet einen attraktiven Preis und verfügt gleichzeitig über alle typischen Grüne Erde-Tugenden: 100 % Naturmaterialien, hohe Qualität, gutes Design, sorgfältiges Tischlerhandwerk. Prägendes Merkmal dieser Almeno-Variante ist das feingliedrige Betthaupt, dessen vertikale Sprossen ihm einen aufstrebenden Charakter verleihen. Von der ätherischen Leichtigkeit sollte man sich aber nicht täuschen lassen: Das handwerklich sauber und exakt gearbeitete Betthaupt ist sehr stabil und bietet Anlehnungsbedürftigen gerne eine verlässliche Stütze. Material & Fertigung Das hochwertige, dauerhafte Massivholz für Almeno stammt aus mitteleuropäischen, nachhaltig bewirtschafteten Wäldern. Die Teile des Bettes werden von passgenauen, bei Bedarf wieder lösbaren Holzsteckverbindungen fest zusammengehalten. Dank dieser metallfreien Lasche-und-Dübel-Verbindungen lässt sich das Bett ohne Qualitäts- und Funktionsverlust wiederholt zerlegen und wieder zusammenbauen – ganz im Sinne der langen Lebensdauer unserer Möbel. Die Holzoberfläche ist von Hand mit natürlichem, lösemittelfreiem Pflegeöl eingelassen. Gut zu wissen Das Betthaupt kommt auch bei höheren Matratzen bzw. Schlafsystemen mit Toppern und/oder Unterbetten optisch noch gut zur Geltung. Auch in 210 cm Länge erhältlich.","{'Maße': {'Doppelbettgröße': '180 x 200 cm', 'Länge in cm': '215.6', 'Breite in cm': '185.2', 'Höhe in cm': '96.8', 'Lattenrostauflagehöhe in cm': '26.5', 'Oberkante Seitenwange in cm': '39.0'}, 'N/A': {}, 'Design': {'Holzart': 'N/A', 'Kopfhauptart': 'Sprossenbetthautpt Senkrecht', 'Designer': 'Johannes Scherr', 'Möbel-Serie': 'Almeno'}, 'Spezifikation': {'Holztyp': 'Massivholz', 'Holzmechanik': 'Sichtbare Dübel-Laschenverbindung', 'N/A': 'fixverleimte Dübelverbindung'}}"
Bett Almeno mit Polsterbetthaupt,,"1.440,83 €",https://www.grueneerde.com/de/produkte/schlafen/betten/bett-almeno-mit-polsterbetthaupt/ge-p-39404.html,"Produktdetails So einfach wie möglich, aber nicht einfacher Almeno ist preisgünstig und erfüllt gleichzeitig hohe Ansprüche an Qualität, Design und Funktionalität. Die Grundidee des Bettes zeigt sich an der Reduktion auf das Wesentliche: kein Zentimeter Holz zu wenig, kein Gramm zu viel. Wir fertigen Almeno in verschiedenen Holzarten – immer aber aus Massivholz aus Europa. Passgenaue, bei Bedarf wieder lösbare, metallfreie Holzsteckverbindungen: Das Bett lässt sich ohne Qualitäts- und Funktionsverlust wiederholt zerlegen. Für das Betthaupt können Sie eine abnehmbare, gepolsterte Housse wählen. Der Polster ist mit weichem Kokoslatex und Schurwollfilz gefüllt. Beim wechselbaren Überzug können Sie aus unseren verschiedenen NATURTEXTIL BEST-zertifizierten Möbelstoffen aus Schurwolle wählen. Die gepolsterte Housse wird mit dekorativen Knöpfen aus Olivenholz am Betthaupt befestigt. Die Holz-Oberfläche ist von Hand mit natürlichem, duftendem, lösungsmittelfreiem Pflegeöl eingelassen. Hinweis: Preis inklusive Aufstellservice, ohne Lattenrost, Matratze und Zubehör.","{'Maße': {'Doppelbettgröße': '180 x 200 cm', 'Länge in cm': '213.6', 'Breite in cm': '185.2', 'Höhe in cm': '81.0', 'lichte Höhe in cm': '23.5', 'Oberkante Seitenwange in cm': '39.0'}, 'N/A': {}, 'Design': {'Holzart': 'N/A', 'Stofffarbe': 'Wollstoff Tano Natur (79)', 'Stoffart': 'Wollstoff Tano', 'Kopfhauptart': 'mit Polsterbetthaupt', 'Designer': 'Johannes Scherr', 'Möbel-Serie': 'Almeno'}, 'Spezifikation': {'Holztyp': 'Massivholz', 'Holzmechanik': 'Sichtbare Dübel-Laschenverbindung', 'N/A': 'fixverleimte Dübelverbindung'}}"
Bett Akato,,"2.498,33 €",https://www.grueneerde.com/de/produkte/schlafen/betten/bett-akato/ge-p-31470.html,"Produktdetails Natürliche Präsenz Reichlich Holz? Ja, aber angemessen dimensioniert! Die ""flächige"" Anmutung von Akato, das im Vordergrund stehende Material Holz und dessen satte Stärke verleihen diesem Bett eine natürliche Präsenz, ohne in vordergründige Wucht oder Opulenz zu verfallen. Dafür sorgen die zurückhaltende Formensprache und sorgfältig ausgewogene Proportionen. Vor allem in Zirbe ausgeführt, verlangt Akato aufgrund der lebendigen Maserung dieser Holzart nach einfachen, klaren Formen. Die beiden kufenartigen Fußgestelle sind etwas nach innen versetzt und geben dem Bett eine optisch leichte, beinahe schwebende Anmutung. Seitlich hochgezogen, wandeln sich diese Kufen zu sichtbaren Gestaltungselementen, die den robusten Bettrahmen optisch gliedern. Bettrahmen und Betthaupt werden über passgenaue, wieder lösbare Holzsteckverbindungen zusammengefügt. Der, gemessen an den Seitenteilen, etwas höhere Fußteil und der Betthauptteil sind – dem Charakter Akatos entsprechend – mit groß dimensionierten Zinken verarbeitet. Diese klassischen tischlermäßigen Holzverbindungen zeugen von hoher handwerklicher Qualität. Und: Sie schmeicheln dem aufmerksamen Blick – jeden Morgen und Abend. Das großzügige, 98 cm (!) hohe, zum bequemen Anlehnen einladende sowie grundstabile Betthaupt ist entspannt ein wenig nach hinten geneigt. Es wird durch massive Gratleisten an der Rückseite vor dem ""Arbeiten"" bei sich verändernder Luftfeuchtigkeit bewahrt. Der angenehm hohe Einstieg ergibt zusammen mit Grüne Erde-Naturmatratzen Liegehöhen bis zu mehr als 65 cm – für bequemes Zubettgehen und Aufstehen. Wertvolles Massivholz aus nachhaltiger, mitteleuropäischer Forstwirtschaft, sorgfältig verarbeitet, metallfrei, von Hand mit natürlichem, lösemittelfreiem Pflegeöl eingelassen. Zirbe bleibt vollkommen unbehandelt.","{'Maße': {'Länge in cm': '214.47', 'Breite in cm': '185.5', 'Höhe in cm': '98.36', 'lichte Höhe in cm': '23.9', 'Oberkante Seitenwange in cm': '42.9'}, 'N/A': {}, 'Design': {'Holzart': 'N/A', 'Kopfhauptart': 'mit Holzbetthaupt', 'Designer': 'Johannes Scherr'}, 'Spezifikation': {'Holztyp': 'Massivholz', 'Holzmechanik': 'fixverleimte Fingerzinken', 'N/A': 'unsichtbare Dübel-Laschen Verbindung'}}"
"Bett Abea mit Betthaupt, 180 x 200 cm, Buche",,"2.498,33 €",https://www.grueneerde.com/de/produkte/schlafen/betten/bett-abea-mit-betthaupt/ge-p-31220.html,"Produktdetails Obwohl alle Bauteile des Bettes sanft verrundet sind und Abea zu einem wahren „Handschmeichler“ machen, ist es das anmutige Betthaupt, welches den Blick unwiderstehlich auf sich zieht. In dessen Rahmen aus kräftigen, runden Holmen sind zarte Sprossen eingezapft, was dem Betthaupt ungeahnte Stabilität verleiht. Schlanke Teile, die das Ganze fest zusammenhalten und dessen Erscheinung maßgeblich prägen: Die Sprosse ist bei Abea ein Symbol für die Einheit von Funktion und Ästhetik, wie die Speiche bei einem hölzernen Wagenrad. Die jeweils aus einem einzigen Stück Holz aufwendig gefrästen vorderen Bettfüße scheinen mit den Seitenwangen und dem Fußteil buchstäblich verschmolzen. Die Füße sind nach unten ein wenig angeschrägt, sodass sie sich optisch leicht nach außen neigen. Das hochbeinige, zugleich sehr standfeste Bett ist deutlich vom Boden abgehoben (lichte Höhe: 22 cm). Der mit 18 cm sehr hohe Bettrahmen bildet einen reizvollen Kontrast zu den filigranen Sprossen und Bettfüßen. Er umschließt auch hohe Matratzen kompakt und sicher. Mit Grüne Erde-Matratzen wird – abhängig von deren jeweiliger Höhe – eine Liegehöhe von bis zu 61 cm erreicht. Das Bett ist aus europäischem Massivholz aufwendig und detailgenau gefertigt. Alle Holzverbindungen sind solide verleimt oder passgenau gesteckt (wieder lösbar) und ohne Metall- oder Kunststoffteile ausgeführt. Die Oberfläche wird von Hand mit duftendem Naturöl eingelassen. Preis, inkl. Aufstellservice, ohne Lattenrost, Matratze und Zubehör.","{'Maße': {'Doppelbettgröße': '180 x 200 cm', 'Länge in cm': '215.8', 'Breite in cm': '187.8', 'Höhe in cm': '109.9', 'lichte Höhe in cm': '22.0', 'Oberkante Seitenwange in cm': '40.0'}, 'N/A': {}, 'Design': {'Holzart': 'N/A', 'Kopfhauptart': 'mit Holzbetthaupt', 'Designer': 'N/A'}, 'Spezifikation': {'Holztyp': 'Massivholz', 'Holzmechanik': 'fixverleimte Dübelverbindung', 'N/A': 'unsichtbare Dübel-Laschen Verbindung'}}"
Bett Abea ohne Betthaupt,,"1.874,17 €",https://www.grueneerde.com/de/produkte/schlafen/betten/bett-abea-ohne-betthaupt/ge-p-31232.html,"Produktdetails Alle Ecken und Kanten des Bettes sind sanft verrundet und machen Abea zu einem wahren „Handschmeichler“. Die jeweils aus einem einzigen Stück Holz aufwendig gefrästen vorderen Bettfüße scheinen mit den Seitenwangen und dem Fußteil buchstäblich verschmolzen, wie aus einem „Guss“. Die Füße sind nach unten ein wenig angeschrägt, sodass sie sich optisch leicht nach außen neigen. Das hochbeinige, zugleich sehr standfeste Bett ist deutlich vom Boden abgehoben (lichte Höhe: 22 cm). Der mit 18 cm sehr hohe Bettrahmen bildet einen reizvollen Kontrast zu den filigranen Bettfüßen, und umschließt auch hohe Matratzen kompakt und sicher. Mit Grüne Erde-Matratzen wird – abhängig von deren konkreter Höhe – im Bett eine Liegehöhe von bis zu 61 cm erreicht. Abea ist aus europäischem Massivholz aufwendig und detailgenau gefertigt. Alle Holzverbindungen sind solide verleimt oder passgenau gesteckt (wieder lösbar) und – wie immer bei Grüne Erde – ohne Metall- oder Kunststoffteile ausgeführt. Die Oberfläche wird von Hand mit duftendem Naturöl eingelassen. Preis, inkl. Aufstellservice, ohne Lattenrost, Matratze und Zubehör.","{'Maße': {'Doppelbettgröße': '180 x 200 cm', 'Länge in cm': '207.8', 'Breite in cm': '187.8', 'Höhe in cm': '40.4', 'lichte Höhe in cm': '22.0', 'Oberkante Seitenwange in cm': '40.0'}, 'N/A': {}, 'Design': {'Holzart': 'N/A', 'Kopfhauptart': 'ohne Betthaupt', 'Designer': 'N/A'}, 'Spezifikation': {'Holztyp': 'Massivholz', 'Holzmechanik': 'fixverleimte Dübelverbindung', 'N/A': 'unsichtbare Dübel-Laschen Verbindung'}}"
"Bett Alwy, mit Holzbetthaupt, 180 x 200 cm, Buche",,"2.065,83 €",https://www.grueneerde.com/de/produkte/schlafen/betten/bett-alwy-/ge-p-76634.html,"Produktdetails Spielerischer Kontrast Das zentrale Stilelement dieses leichtfüßigen  Bettes ist die sichtbare Überlappung der Bauteile. Die Holme am Kopfende  des Bettes sind oben wie Spangen geformt. Sie tragen das Betthaupt,  überlappen es und konstrastieren damit dessen plane Oberfläche auf  spielerische Weise. Das Stil- und Funktionselement der Spange findet  sich auch am Fußende des Bettes, wo die optisch deutlich abgesetzten  Füße den Bettrahmen gleichsam umklammern und tragen. Material & Fertigung Wir  fertigen Alwy aus europäischem Massivholz, arbeiten  dabei mit gesteckten, satt sitzenden, wieder lösbaren Dübel- und  Laschenverbindungen (keine Metallteile). So lässt sich Alwy ohne  Qualitäts- und Funktionsverlust wiederholt zerlegen bzw. zusammenbauen. Die  Oberfläche wird von Hand mit natürlichem Pflegeöl eingelassen. In Zirbe  bleibt das Bett unbehandelt, um den typischen Duft dieser Holzart nicht  zu beeinträchtigen. Betthäupter Polsterbetthaupt Für das markante Betthaupt  mit den nach vorne gebogenen Enden wird eine Platte aus  verwindungsfestem Pappelsperrholz in unserer Werkstätte mit weichem  Schurwollfilz handwerklich sauber gepolstert, straff mit dem Möbelstoff  Ihrer Wahl bezogen und mit dekorativen Nähten sorgfältig  verarbeitet. Holzbetthaupt Das Holzbetthaupt ist aus massivem Holz gefertigt und solide verleimt. Preis, inkl. Aufstellservice, ohne Lattenrost, Matratze und Zubehör.","{'Maße': {'Doppelbettgröße': '180 x 200 cm', 'Länge in cm': '207.5', 'Breite in cm': '191.6', 'Höhe in cm': '95.5', 'lichte Höhe in cm': '23.5', 'Lattenrostauflagehöhe in cm': '26.5', 'Oberkante Seitenwange in cm': '42.0'}, 'N/A': {}, 'Design': {'Holzart': 'N/A', 'Kopfhauptart': 'mit Holzbetthaupt', 'Designer': 'Johannes Scherr', 'Möbel-Serie': 'Alwy'}, 'Spezifikation': {'Holztyp': 'Massivholz', 'Holzmechanik': 'unsichtbare Dübel-Laschen Verbindung'}}"
"Bett Alwy, ohne Betthaupt, 180 x 200 cm, Buche",,"1.707,50 €",https://www.grueneerde.com/de/produkte/schlafen/betten/bett-alwy-/ge-p-76633.html,"Produktdetails Spielerischer Kontrast Das zentrale Stilelement dieses leichtfüßigen  Bettes ist die sichtbare Überlappung der Bauteile. Die Holme am Kopfende  des Bettes sind oben wie Spangen geformt. Sie tragen das Betthaupt,  überlappen es und konstrastieren damit dessen plane Oberfläche auf  spielerische Weise. Das Stil- und Funktionselement der Spange findet  sich auch am Fußende des Bettes, wo die optisch deutlich abgesetzten  Füße den Bettrahmen gleichsam umklammern und tragen. Material & Fertigung Wir  fertigen Alwy aus europäischem Massivholz, arbeiten  dabei mit gesteckten, satt sitzenden, wieder lösbaren Dübel- und  Laschenverbindungen (keine Metallteile). So lässt sich Alwy ohne  Qualitäts- und Funktionsverlust wiederholt zerlegen bzw. zusammenbauen. Die  Oberfläche wird von Hand mit natürlichem Pflegeöl eingelassen. In Zirbe  bleibt das Bett unbehandelt, um den typischen Duft dieser Holzart nicht  zu beeinträchtigen. Betthäupter Polsterbetthaupt Für das markante Betthaupt  mit den nach vorne gebogenen Enden wird eine Platte aus  verwindungsfestem Pappelsperrholz in unserer Werkstätte mit weichem  Schurwollfilz handwerklich sauber gepolstert, straff mit dem Möbelstoff  Ihrer Wahl bezogen und mit dekorativen Nähten sorgfältig  verarbeitet. Holzbetthaupt Das Holzbetthaupt ist aus massivem Holz gefertigt und solide verleimt. Preis, inkl. Aufstellservice, ohne Lattenrost, Matratze und Zubehör.","{'Maße': {'Doppelbettgröße': '180 x 200 cm', 'Länge in cm': '206.4', 'Breite in cm': '186.2', 'Höhe in cm': '42.0', 'lichte Höhe in cm': '23.5', 'Lattenrostauflagehöhe in cm': '26.5', 'Oberkante Seitenwange in cm': '42.0'}, 'N/A': {}, 'Design': {'Holzart': 'N/A', 'Kopfhauptart': 'ohne Betthaupt', 'Designer': 'Johannes Scherr', 'Möbel-Serie': 'Alwy'}, 'Spezifikation': {'Holztyp': 'Massivholz', 'Holzmechanik': 'unsichtbare Dübel-Laschen Verbindung'}}"
